Title,Actors,Director
Steve Guttenberg,Joe Layton,A Small Circle of Friends
Marc Singer,Steven Lisberger,Leo and Loree
Michael Ironside,Garry Marshall,Phobia
Season Hubley,Ken Finkleman,Breaking Glass
James Olson,Amy Heckerling,Raiders of the Lost Ark
Morgan Fairchild,Thomas K. Avildsen,On Golden Pond
Mark Miller,Ron Howard,Arthur
Gerrit Graham,George A. Romero,Stripes
John Hurt,George Miller,The Cannonball Run
Ronny Cox,Richard Benjamin,Chariots of Fire
Matt Dillon,Robert J. Rosenthal,For Your Eyes Only
Michael Palin,Elliott Hong,The Four Seasons
Nastassja Kinski,Michael Winner,Time Bandits
Alan Arkin,Robert Mulligan,Clash of the Titans
Ken Wahl,Patricia Birch,Absence of Malice
Ryan O'Neal,Don Bluth,Reds
Lawrence Monoson,Tommy Lee Wallace,The Fox and the Hound
Barry Bostwick,Barry Levinson,Tarzan the Ape Man
Mariel Hemingway,Costa-Gavras,Taps
Willie Aames,Jean-Claude Lord,Sharky's Machine
Lorne Greene,Gary Sherman,Excalibur
John Cassavetes,Arthur Hiller,Endless Love
Peter Gallagher,Damiano Damiani,History of the World: Part I
Mark Blankfield,David Schmoeller,Bustin' Loose
Leon Isaac Kennedy,Michael Miller,The Great Muppet Caper
Joan Collins,Pierre De Moro,An American Werewolf in London
Kate Mulgrew,Eric Till,Neighbors
Tim Matheson,Delbert Mann,Fort Apache the Bronx
Luciano Pavarotti,Ken Annakin,The French Lieutenant's Woman
Armand Assante,Philippe Mora,Private Lessons
Robert Urich,Tim Hunter,Modern Problems
Kathryn Harrold,Richard Loncraine,Halloween II
Sandy Dennis,Jules Bass,Only When I Laugh
Edward Albert,James Glickenhaus,Escape from New York
Francis Ford Coppola,James Burrows,Body Heat
Jill Clayburgh,Boaz Davidson,Ghost Story
Michael O'Keefe,Robert Towne,Friday the 13th Part 2
Raul Julia,Stuart Gillard,The Final Conflict
Shepard Menken,David S. Ward,The Incredible Shrinking Woman
Peter Riegert,Robert Taylor,Nighthawks
Frederic Forrest,Paul Mazursky,Mommie Dearest
Peter Donat,Jerry Belson,Paternity
Jennifer Beals,Lewis Teague,Under the Rainbow
Denholm Elliott,Jamaa Fanaka,The Howling
Dennis Quaid,James Beshears,Eye of the Needle
Matthew Broderick,Bruce Paltrow,Take This Job and Shove It
Michael Keaton,Fred Schepisi,Outland
Tom Cruise,Richard T. Heffron,The Devil and Max Devlin
Tom Berenger,Roger Christian,Caveman
Anthony Perkins,Tony St. John,Continental Divide
Dan Monahan,Terry Hughes,The Night the Lights Went Out in Georgia
Charles Martin Smith,Jack Hofsiss,Ragtime
Rodney Dangerfield,Caleb Deschanel,S.O.B.
Tom Selleck,Friz Freleng,Rich and Famous
C. Thomas Howell,Bob Giraldi,Scanners
David Knell,Wim Wenders,Dragonslayer
Caren Kaye,James Toback,True Confessions
Sam Shepard,James L. Brooks,The Legend of the Lone Ranger
Keith Gordon,Joe Alves,First Monday in October
Christopher Walken,Stan Dragoti,The Postman Always Rings Twice
Melinda Dillon,Paul Brickman,Blow Out
Nicolas Cage,Barbra Streisand,Back Roads
Ken Marshall,Richard Franklin,Thief
Peter Strauss,James Signorelli,Victory
Max Gail,Brian G. Hutton,Rollover
Phoebe Cates,John Herzfeld,Wolfen
Shô Kosugi,George Bowers,Carbon Copy
Ronny Graham,Jim McBride,Pennies from Heaven
Rick Hill,Martha Coolidge,Deadly Blessing
David Keith,Michael Chapman,Whose Life Is It Anyway?
Lou Ferrigno,Richard Pryor,Prince of the City
Kate Nelligan,Sam Firstenberg,The Funhouse
Dave Thomas,Alan Johnson,Buddy Buddy
Börje Ahlstedt,Robert Dalva,...All the Marbles
Cristina Raines,James Sbardellati,Eyewitness
Steve Railsback,Franc Roddam,Gallipoli
Rutger Hauer,Luigi Cozzi,My Bloody Valentine
Jackie Gleason,Douglas Trumbull,Going Ape!
Tony Roberts,Marshall Brickman,Student Bodies
Catherine Deneuve,Stanley R. Jaffe,All Night Long
Burt Lancaster,Rick Moranis,The Pursuit of D.B. Cooper
Christopher Atkins,Bruce Beresford,Zoot Suit
Jeffrey Byron,Jack Clayton,The Fan
David Niven,Frank Zuniga,Gas
Mary Beth McDonough,Paul Nicholas,Modern Romance
Margot Kidder,John Mackenzie,The Hand
Joe Don Baker,Tony Scott,Heartbeeps
Reb Brown,Bill Forsyth,This Is Elvis
Martin Sheen,Dick Lowry,Sphinx
